post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_base-colour,attribute_data:pa_base-colour,attribute_default:pa_base-colour,attribute:pa_chair-style,attribute_data:pa_chair-style,attribute_default:pa_chair-style,attribute:pa_colour,attribute_data:pa_colour,attribute_default:pa_colour,attribute:pa_drawer-options,attribute_data:pa_drawer-options,attribute_default:pa_drawer-options,attribute:pa_fabric-range,attribute_data:pa_fabric-range,attribute_default:pa_fabric-range,attribute:pa_frame-colour,attribute_data:pa_frame-colour,attribute_default:pa_frame-colour,attribute:pa_furniture-option,attribute_data:pa_furniture-option,attribute_default:pa_furniture-option,attribute:pa_guestbed,attribute_data:pa_guestbed,attribute_default:pa_guestbed,attribute:pa_headboard,attribute_data:pa_headboard,attribute_default:pa_headboard,attribute:pa_leather-type,attribute_data:pa_leather-type,attribute_default:pa_leather-type,attribute:pa_leg-colour,attribute_data:pa_leg-colour,attribute_default:pa_leg-colour,attribute:pa_mattress-firmness,attribute_data:pa_mattress-firmness,attribute_default:pa_mattress-firmness,attribute:pa_mattress-options,attribute_data:pa_mattress-options,attribute_default:pa_mattress-options,attribute:pa_no-of-chairs,attribute_data:pa_no-of-chairs,attribute_default:pa_no-of-chairs,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size,attribute:pa_sofa-options,attribute_data:pa_sofa-options,attribute_default:pa_sofa-options,attribute:pa_tent,attribute_data:pa_tent,attribute_default:pa_tent,attribute:pa_upholstry-colour,attribute_data:pa_upholstry-colour,attribute_default:pa_upholstry-colour,attribute:pa_vat-exempt,attribute_data:pa_vat-exempt,attribute_default:pa_vat-exempt
"Lagos Cherry Bunkbeds",lagos-cherry-bunkbeds,,514,"This stunning Lagos bunk bed has a very traditional feel, though it does also look incredible in a modern setting. Made from the finest solid hard wood, this solidly built bedstead is strong, robust and gorgeous to look at, not to mention long lasting.

As with any bunk bed, the Lagos Bunk Bed is perfect for saving space and extremely good value for money. This bunk bed in particular is exceptionally good value as it can be used as two separate single beds and can therefore be used in a variety of settings and with different age groups.

The top bunk bed features a wooden safety rail surrounding it for your child protection and the bottom bunk bed has a matching head and foot end. The bed frame itself has been sanded and lacquered to give a striking cherry finish.

<b>Internal Dimensions:</b>
<ul>
 	<li>Length: 190cm</li>
 	<li>Width: 90cm</li>
 	<li>Height: 162cm</li>
</ul>
<b>External Dimensions:</b>
<ul>
 	<li>Length: 205cm</li>
 	<li>Width: 105cm</li>
 	<li>Height: 162cm</li>
</ul>
The Lagos bunk bed comes flat packed for easy home assembly.

&nbsp;",,publish,,0,"2016-03-08 17:27:17",1,open,,,,no,no,,499.99,299.99,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Lagos.jpg ! alt : Lagos ! title : Lagos ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/tripoli_bunk_cherry.jpg ! alt : tripoli bunk cherry ! title : tripoli_bunk_cherry ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/lagos-cherry-bunkbeds/,,,,,,,,,90,,,simple,,"Beds > Bedsteads|Beds > Bunkbeds|Beds > Childrens Beds",bunkbeds|wooden,,,,,,,,,,,,,,,,,Cherry,2|1|1,Cherry,,,,,,,,,,,,,,,,,,,"2 x 3.0 Budget Mattresses|2 x 3.0 Chelsea Mattresses|2 x 3.0 Ecorefresh Mattresses|2 x 3.0 Paris Mattresses|No Mattresses",1|1|1,"No Mattresses",,,,"3.0 Single",0|1|1,"3.0 Single",,,,,,,,,,,,
"Barcelona White Bunkbeds",barcelona-white-bunkbeds-free-mattresses,,522,"This stunning Barcelona bunk bed has a very traditional feel, though it does also looks incredible in a modern setting. Made from the finest solid rubber tree hard wood, this solidly built bedstead is strong, robust and gorgeous to look at, not to mention long lasting.

As with any bunk bed, the Barcelona Bunk Bed is perfect for saving space and extremely good value for money. This bunk bed in particular is exceptionally good value as it can be used as two separate single beds and can therefore be used in a variety of settings and with different age groups.

The top bunk bed features a wooden safety rail surrounding it for your child protection and the bottom bunk bed has a matching head and foot end. The bed frame itself has been sanded and painted to give a striking white finish.

<b>Internal Dimensions:</b>
<ul>
 	<li>Length: 190cm</li>
 	<li>Width: 90cm</li>
 	<li>Height: 162cm</li>
</ul>
<b>External Dimensions:</b>
<ul>
 	<li>Length: 205cm</li>
 	<li>Width: 105cm</li>
 	<li>Height: 162cm</li>
</ul>
The Barcelona bunk bed comes flat packed for easy home assembly.

&nbsp;",,publish,,0,"2016-03-08 17:31:44",1,closed,,,,no,no,,999.99,799.99,,,,,,visible,outofstock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/tripoli_white_bunk_bed-_web_1.jpg ! alt : tripoli white bunk bed  web ! title : tripoli_white_bunk_bed-_web_1 ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/barcelona-white-bunkbeds-free-mattresses/,,,,,,,,,90,,,simple,featured|outofstock,"Beds > Bedsteads|Beds > Bunkbeds|Beds > Childrens Beds|Beds > White Wooden Beds",bunkbeds|wooden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.0 Single",0|1|1,"3.0 Single",,,,,,,,,,,,
"Helsinki Bedstead - White",helsinki-bedstead,,1053,"This inspired bed by Serene Furnishings will certainly add a certain magic and charm and would be perfect for any bedroom of a little princess. The beautiful Helsinki features soft, gentle curves to the head and footend.

Having this pretty bed frame in your child's bedroom will make bedtime fun and where dreams are made.
<ul>
 	<li>Kent Beds Helsinki</li>
 	<li>White metal bed frame</li>
 	<li>3ft (90cm) single (mattress size)</li>
 	<li>Pretty heart detailing</li>
 	<li>Sprung slatted base</li>
</ul>
&nbsp;

<img class=""alignnone size-full wp-image-1057"" src=""http://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/helsinki.jpg"" alt=""helsinki"" width=""2401"" height=""2185"" />","Mattress sold separately",publish,,0,"2016-03-14 16:25:43",1,closed,,,,no,no,,399.99,299.99,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/helsinki.jpg ! alt : helsinki ! title : helsinki ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/helsinki-bedstead/,,,,,,,,1,90,,,simple,,"Beds > Bedsteads|Beds > Metal Beds",BED|metal|SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Melbourne Glass & Chrome Dining Table + 6 Chairs",melbourne-dining-table,,1628,"The sleek and sophisticated look created by the Melbourne black dining set is enough to make all your friends green with envy. With this dining table, combined with chrome plating and 10mm black tempered glass, your guests won't want to leave.
<ul>
 	<li>10mm Black Tempered Glass</li>
 	<li>Chrome Plated Base and Legs</li>
 	<li>A wide range of co-ordinating items are available in the Melbourne collection</li>
 	<li>A sophisticated and contemporary design suitable for most dining room décor</li>
</ul>
<h3>90cm D x 160cm W x 75cm H</h3>
&nbsp;","160 x 90 x 75cm H",publish,,0,"2016-03-17 09:30:21",1,open,,,,no,no,,1499.99,999.99,,,,,,visible,instock,no,,,no,taxable,,1638|1639,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Melbourne-roomset.jpg ! alt :  ! title : Melbourne-roomset ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Melbounr-Chairs.jpg ! alt : Melbounr Chairs ! title : Melbounr Chairs ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Melbourne-Coffee-Table.jpg ! alt : Melbourne Coffee Table ! title : Melbourne Coffee Table ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Melbourne-Lamp-Table.jpg ! alt : Melbourne Lamp Table ! title : Melbourne Lamp Table ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Melbourne.jpg ! alt : Melbourne ! title : Melbourne ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/melbourne-dining-table/,,,,,,,,,60,,,simple,featured,"Dining > Dining Tables","Black|Chrome|Dining Table|Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 Chairs (Table Only)|1 Chair Only (No Table)|Table &amp; 6 Chairs",0|1|1,,,,,,,,,,,,,,,,
"Melbourne Coffee Table",melbourne-coffee-table,,1638,"Melbourne Coffee Table",,publish,,0,"2016-03-17 13:51:30",1,open,,,,no,no,,299.99,199.99,,,,,,visible,instock,no,,,no,,,1628|1639,,,,,,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Melbourne-Coffee-Table.jpg ! alt : Melbourne Coffee Table ! title : Melbourne Coffee Table ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/melbourne-coffee-table/,,,,,,,,,,,,simple,,"Shopfront > Occasional Furniture","Black|coffee table|Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Melbourne Lamp Table",melbourne-lamp-table,,1639,"Melbourne Lamp Table",,publish,,0,"2016-03-17 13:51:43",1,open,,,,no,no,,199.99,149.99,,,,,,visible,instock,no,,,no,,,1628|1638,,,,,,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Melbourne-Lamp-Table.jpg ! alt : Melbourne Lamp Table ! title : Melbourne Lamp Table ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/melbourne-lamp-table/,,,,,,,,,,,,simple,,"Shopfront > Occasional Furniture","Black|Glass|lamp table",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"London Bunkbed",london-bunkbed,,1663,"Just as ideal as a space-saver as it is for fun sleepovers, the London Bus Bunk Bed provides an enjoyable sleeping environment for your child. Designed to mimic a London double decker bus, it features a solid and secure metal ladder that provides access to the top bunk. Solid Slats ensure your child sleeps in support and comfort.
<ul>
 	<li>Conforms to BS EN 747:2012 Safety Standards</li>
 	<li>Fun sleeping solution for any child's bedroom</li>
 	<li>Movable steering wheel</li>
 	<li>Distance from floor to top of ladder - 103.5cm</li>
 	<li>Accepts 2 Standard UK Single Mattresses (90cm x 190cm)</li>
</ul>
<h2>200cm D x 108cm W x 136cm H</h2>","Mattresses Sold Separately",publish,,0,"2016-03-17 14:31:06",1,open,,,,no,no,,799.99,599.99,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/london-bus-roomset.jpg ! alt : london bus roomset ! title : london-bus-roomset ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Bus-Bunk.jpg ! alt : Bus Bunk ! title : Bus Bunk ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/london-bunkbed/,,,,,,,,,,,,simple,,"Beds > Bunkbeds|Beds > Childrens Beds","bunkbeds|childrens bed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.0 Single",0|1|1,,,,,,,,,,,,,
"Harvard Captains Bed - White",harvard-captains-bed-pine,,1679,"A sylish stone white lacquered pine and veneer cabin bed with a hidden secret. A pull out under bed gives extra sleeping surface when required. The Harvard also features 3 drawers for additional storage, making it an incredibly functional and versatile product. Perfect for any children's bedroom or guest room.
<ul>
 	<li>Durable Stone White Lacquered Finish</li>
 	<li>Solid Slatted Base</li>
 	<li> A pull out under bed gives extra sleeping surface when required</li>
 	<li>Fits a Standard UK Single Mattress (90cm x 190cm)</li>
 	<li>Stone White is an Off-White not Brilliant White</li>
 	<li>Features 3 drawers for additional storage</li>
 	<li>Bottom of side rail to floor - 49cm</li>
</ul>","Mattresses Sold Separately

202cm D x 100cm W x 104cm H

&nbsp;",publish,,0,"2016-03-17 14:51:16",1,open,,,,no,no,,699.99,499.99,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/harvard-stone-white-open.jpg ! alt :  ! title : harvard-stone-white-open ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/harvard-captains-bed-pine/,,,,,,,,,90,,,simple,,"Beds > Bedsteads|Beds > Bunkbeds|Beds > Childrens Beds > Cabin Beds|Beds > Childrens Beds|Beds > Childrens Beds > Childrens Mid Sleepers|Beds > Guestbeds with Guest Underbed|Beds > White Wooden Beds|Beds > Wooden Beds","childrens bed|mid sleeper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.0 Single",0|1|1,,,,,,,,,,,,,
Jenson,jenson,,1723,"Jenson Car Bed

220 x 111 x 60cm H","Mattress Sold Separately",publish,,0,"2016-03-17 15:32:11",1,open,,,,no,no,,499.99,349.99,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Jenson.jpg ! alt : Jenson ! title : Jenson ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/jenson/,,,,,,,,,,,,simple,,"Beds > Childrens Beds","childrens bed|SINGLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.0 Single",0|1|1,,,,,,,,,,,,,
Princess,princess,,1726,"Princess Bed

228 x 107 x 82cm H","Mattress Sold Separately",publish,,0,"2016-03-17 15:34:44",1,open,,,,no,no,,499.99,249.99,,,,,,visible,instock,no,,,no,,,,,,,,,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Charlotte.jpg ! alt : Charlotte ! title : Charlotte ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/princess/,,,,,,,,,,,,simple,,"Beds > Childrens Beds","childrens bed|SINGLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.0 Single",0|1|1,,,,,,,,,,,,,
